Benchmark,EPS Type,PE Type,EPS Change (%),PE Change (%),Adjusted EPS,Adjusted PE,Implied Index Level,Implied Return (%),Current EPS,Current PE,Current Index Level
S&P 500,trailing,trailing,-50.0,-50.0,112.5,13.9,1563.75,-75.0,225.0,27.8,6255.0
S&P 500,trailing,trailing,-50.0,-40.0,112.5,16.68,1876.5,-70.0,225.0,27.8,6255.0
S&P 500,trailing,trailing,-50.0,-30.000000000000004,112.5,19.46,2189.25,-65.0,225.0,27.8,6255.0
S&P 500,trailing,trailing,-50.0,-20.000000000000007,112.5,22.24,2502.0,-60.0,225.0,27.8,6255.0
S&P 500,trailing,trailing,-50.0,-10.000000000000009,112.5,25.02,2814.75,-55.00000000000001,225.0,27.8,6255.0
S&P 500,trailing,trailing,-50.0,-1.1102230246251565e-14,112.5,27.799999999999997,3127.4999999999995,-50.0,225.0,27.8,6255.0
S&P 500,trailing,trailing,-50.0,9.999999999999986,112.5,30.58,3440.25,-44.99999999999999,225.0,27.8,6255.0
S&P 500,trailing,trailing,-50.0,19.999999999999986,112.5,33.35999999999999,3752.999999999999,-40.000000000000014,225.0,27.8,6255.0
S&P 500,trailing,trailing,-50.0,29.999999999999982,112.5,36.13999999999999,4065.749999999999,-35.00000000000002,225.0,27.8,6255.0
S&P 500,trailing,trailing,-50.0,39.99999999999998,112.5,38.92,4378.5,-30.000000000000004,225.0,27.8,6255.0
S&P 500,trailing,trailing,-50.0,49.99999999999998,112.5,41.699999999999996,4691.249999999999,-25.00000000000001,225.0,27.8,6255.0
S&P 500,trailing,trailing,-40.0,-50.0,135.0,13.9,1876.5,-70.0,225.0,27.8,6255.0
S&P 500,trailing,trailing,-40.0,-40.0,135.0,16.68,2251.8,-63.99999999999999,225.0,27.8,6255.0
S&P 500,trailing,trailing,-40.0,-30.000000000000004,135.0,19.46,2627.1,-58.00000000000001,225.0,27.8,6255.0
S&P 500,trailing,trailing,-40.0,-20.000000000000007,135.0,22.24,3002.3999999999996,-52.0,225.0,27.8,6255.0
S&P 500,trailing,trailing,-40.0,-10.000000000000009,135.0,25.02,3377.7,-46.00000000000001,225.0,27.8,6255.0
S&P 500,trailing,trailing,-40.0,-1.1102230246251565e-14,135.0,27.799999999999997,3752.9999999999995,-40.0,225.0,27.8,6255.0
S&P 500,trailing,trailing,-40.0,9.999999999999986,135.0,30.58,4128.3,-34.0,225.0,27.8,6255.0
S&P 500,trailing,trailing,-40.0,19.999999999999986,135.0,33.35999999999999,4503.5999999999985,-28.000000000000025,225.0,27.8,6255.0
S&P 500,trailing,trailing,-40.0,29.999999999999982,135.0,36.13999999999999,4878.899999999999,-22.00000000000002,225.0,27.8,6255.0
S&P 500,trailing,trailing,-40.0,39.99999999999998,135.0,38.92,5254.2,-16.000000000000004,225.0,27.8,6255.0
S&P 500,trailing,trailing,-40.0,49.99999999999998,135.0,41.699999999999996,5629.499999999999,-10.00000000000002,225.0,27.8,6255.0
S&P 500,trailing,trailing,-30.000000000000004,-50.0,157.5,13.9,2189.25,-65.0,225.0,27.8,6255.0
S&P 500,trailing,trailing,-30.000000000000004,-40.0,157.5,16.68,2627.1,-58.00000000000001,225.0,27.8,6255.0
S&P 500,trailing,trailing,-30.000000000000004,-30.000000000000004,157.5,19.46,3064.9500000000003,-51.0,225.0,27.8,6255.0
S&P 500,trailing,trailing,-30.000000000000004,-20.000000000000007,157.5,22.24,3502.7999999999997,-44.00000000000001,225.0,27.8,6255.0
S&P 500,trailing,trailing,-30.000000000000004,-10.000000000000009,157.5,25.02,3940.65,-37.0,225.0,27.8,6255.0
S&P 500,trailing,trailing,-30.000000000000004,-1.1102230246251565e-14,157.5,27.799999999999997,4378.5,-30.000000000000004,225.0,27.8,6255.0
S&P 500,trailing,trailing,-30.000000000000004,9.999999999999986,157.5,30.58,4816.349999999999,-23.00000000000001,225.0,27.8,6255.0
S&P 500,trailing,trailing,-30.000000000000004,19.999999999999986,157.5,33.35999999999999,5254.199999999999,-16.000000000000014,225.0,27.8,6255.0
S&P 500,trailing,trailing,-30.000000000000004,29.999999999999982,157.5,36.13999999999999,5692.049999999999,-9.000000000000007,225.0,27.8,6255.0
S&P 500,trailing,trailing,-30.000000000000004,39.99999999999998,157.5,38.92,6129.900000000001,-1.9999999999999907,225.0,27.8,6255.0
S&P 500,trailing,trailing,-30.000000000000004,49.99999999999998,157.5,41.699999999999996,6567.749999999999,4.999999999999982,225.0,27.8,6255.0
S&P 500,trailing,trailing,-20.000000000000007,-50.0,179.99999999999997,13.9,2501.9999999999995,-60.00000000000001,225.0,27.8,6255.0
S&P 500,trailing,trailing,-20.000000000000007,-40.0,179.99999999999997,16.68,3002.3999999999996,-52.0,225.0,27.8,6255.0
S&P 500,trailing,trailing,-20.000000000000007,-30.000000000000004,179.99999999999997,19.46,3502.7999999999997,-44.00000000000001,225.0,27.8,6255.0
S&P 500,trailing,trailing,-20.000000000000007,-20.000000000000007,179.99999999999997,22.24,4003.199999999999,-36.00000000000002,225.0,27.8,6255.0
S&P 500,trailing,trailing,-20.000000000000007,-10.000000000000009,179.99999999999997,25.02,4503.599999999999,-28.000000000000014,225.0,27.8,6255.0
S&P 500,trailing,trailing,-20.000000000000007,-1.1102230246251565e-14,179.99999999999997,27.799999999999997,5003.999999999999,-20.000000000000018,225.0,27.8,6255.0
S&P 500,trailing,trailing,-20.000000000000007,9.999999999999986,179.99999999999997,30.58,5504.399999999999,-12.000000000000021,225.0,27.8,6255.0
S&P 500,trailing,trailing,-20.000000000000007,19.999999999999986,179.99999999999997,33.35999999999999,6004.799999999997,-4.000000000000037,225.0,27.8,6255.0
S&P 500,trailing,trailing,-20.000000000000007,29.999999999999982,179.99999999999997,36.13999999999999,6505.199999999998,3.999999999999959,225.0,27.8,6255.0
S&P 500,trailing,trailing,-20.000000000000007,39.99999999999998,179.99999999999997,38.92,7005.599999999999,11.99999999999999,225.0,27.8,6255.0
S&P 500,trailing,trailing,-20.000000000000007,49.99999999999998,179.99999999999997,41.699999999999996,7505.999999999998,19.99999999999997,225.0,27.8,6255.0
S&P 500,trailing,trailing,-10.000000000000009,-50.0,202.49999999999997,13.9,2814.7499999999995,-55.00000000000001,225.0,27.8,6255.0
S&P 500,trailing,trailing,-10.000000000000009,-40.0,202.49999999999997,16.68,3377.6999999999994,-46.00000000000001,225.0,27.8,6255.0
S&P 500,trailing,trailing,-10.000000000000009,-30.000000000000004,202.49999999999997,19.46,3940.6499999999996,-37.000000000000014,225.0,27.8,6255.0
S&P 500,trailing,trailing,-10.000000000000009,-20.000000000000007,202.49999999999997,22.24,4503.599999999999,-28.000000000000014,225.0,27.8,6255.0
S&P 500,trailing,trailing,-10.000000000000009,-10.000000000000009,202.49999999999997,25.02,5066.549999999999,-19.000000000000018,225.0,27.8,6255.0
S&P 500,trailing,trailing,-10.000000000000009,-1.1102230246251565e-14,202.49999999999997,27.799999999999997,5629.499999999998,-10.000000000000032,225.0,27.8,6255.0
S&P 500,trailing,trailing,-10.000000000000009,9.999999999999986,202.49999999999997,30.58,6192.449999999999,-1.000000000000012,225.0,27.8,6255.0
S&P 500,trailing,trailing,-10.000000000000009,19.999999999999986,202.49999999999997,33.35999999999999,6755.399999999998,7.999999999999963,225.0,27.8,6255.0
S&P 500,trailing,trailing,-10.000000000000009,29.999999999999982,202.49999999999997,36.13999999999999,7318.349999999998,16.99999999999997,225.0,27.8,6255.0
S&P 500,trailing,trailing,-10.000000000000009,39.99999999999998,202.49999999999997,38.92,7881.299999999999,25.99999999999998,225.0,27.8,6255.0
S&P 500,trailing,trailing,-10.000000000000009,49.99999999999998,202.49999999999997,41.699999999999996,8444.249999999998,34.999999999999964,225.0,27.8,6255.0
S&P 500,trailing,trailing,-1.1102230246251565e-14,-50.0,224.99999999999997,13.9,3127.4999999999995,-50.0,225.0,27.8,6255.0
S&P 500,trailing,trailing,-1.1102230246251565e-14,-40.0,224.99999999999997,16.68,3752.9999999999995,-40.0,225.0,27.8,6255.0
S&P 500,trailing,trailing,-1.1102230246251565e-14,-30.000000000000004,224.99999999999997,19.46,4378.5,-30.000000000000004,225.0,27.8,6255.0
S&P 500,trailing,trailing,-1.1102230246251565e-14,-20.000000000000007,224.99999999999997,22.24,5003.999999999999,-20.000000000000018,225.0,27.8,6255.0
S&P 500,trailing,trailing,-1.1102230246251565e-14,-10.000000000000009,224.99999999999997,25.02,5629.499999999999,-10.00000000000002,225.0,27.8,6255.0
S&P 500,trailing,trailing,-1.1102230246251565e-14,-1.1102230246251565e-14,224.99999999999997,27.799999999999997,6254.999999999998,-3.3306690738754696e-14,225.0,27.8,6255.0
S&P 500,trailing,trailing,-1.1102230246251565e-14,9.999999999999986,224.99999999999997,30.58,6880.499999999999,9.999999999999986,225.0,27.8,6255.0
S&P 500,trailing,trailing,-1.1102230246251565e-14,19.999999999999986,224.99999999999997,33.35999999999999,7505.999999999997,19.99999999999995,225.0,27.8,6255.0
S&P 500,trailing,trailing,-1.1102230246251565e-14,29.999999999999982,224.99999999999997,36.13999999999999,8131.499999999997,29.99999999999996,225.0,27.8,6255.0
S&P 500,trailing,trailing,-1.1102230246251565e-14,39.99999999999998,224.99999999999997,38.92,8757.0,39.99999999999999,225.0,27.8,6255.0
S&P 500,trailing,trailing,-1.1102230246251565e-14,49.99999999999998,224.99999999999997,41.699999999999996,9382.499999999998,49.99999999999998,225.0,27.8,6255.0
S&P 500,trailing,trailing,9.999999999999986,-50.0,247.49999999999997,13.9,3440.2499999999995,-45.00000000000001,225.0,27.8,6255.0
S&P 500,trailing,trailing,9.999999999999986,-40.0,247.49999999999997,16.68,4128.299999999999,-34.00000000000001,225.0,27.8,6255.0
S&P 500,trailing,trailing,9.999999999999986,-30.000000000000004,247.49999999999997,19.46,4816.349999999999,-23.00000000000001,225.0,27.8,6255.0
