EPS Change (%),PE Change (%),EPS Value,PE Value,Implied Price,Implied Return,Scenario
-20%,-20%,272.0,17.2,4678.4,-0.3600000000000001,What-if
-20%,-10%,272.0,19.35,5263.200000000001,-0.2799999999999999,What-if
-20%,0%,272.0,21.5,5848.0,-0.19999999999999996,What-if
-20%,10%,272.0,23.650000000000002,6432.8,-0.12,What-if
-20%,20%,272.0,25.8,7017.6,-0.039999999999999925,What-if
-10%,-20%,306.0,17.2,5263.2,-0.28,What-if
-10%,-10%,306.0,19.35,5921.1,-0.18999999999999995,What-if
-10%,0%,306.0,21.5,6579.0,-0.09999999999999998,What-if
-10%,10%,306.0,23.650000000000002,7236.900000000001,-0.009999999999999898,What-if
-10%,20%,306.0,25.8,7894.8,0.08000000000000007,What-if
0%,-20%,340.0,17.2,5848.0,-0.19999999999999996,What-if
0%,-10%,340.0,19.35,6579.000000000001,-0.09999999999999987,What-if
0%,0%,340.0,21.5,7310.0,0.0,Current
0%,10%,340.0,23.650000000000002,8041.000000000001,0.10000000000000009,What-if
0%,20%,340.0,25.8,8772.0,0.19999999999999996,What-if
10%,-20%,374.00000000000006,17.2,6432.800000000001,-0.11999999999999988,What-if
10%,-10%,374.00000000000006,19.35,7236.9000000000015,-0.009999999999999787,What-if
10%,0%,374.00000000000006,21.5,8041.000000000001,0.10000000000000009,What-if
10%,10%,374.00000000000006,23.650000000000002,8845.100000000002,0.2100000000000004,What-if
10%,20%,374.00000000000006,25.8,9649.200000000003,0.3200000000000003,What-if
20%,-20%,408.0,17.2,7017.599999999999,-0.040000000000000036,What-if
20%,-10%,408.0,19.35,7894.8,0.08000000000000007,What-if
20%,0%,408.0,21.5,8772.0,0.19999999999999996,What-if
20%,10%,408.0,23.650000000000002,9649.2,0.32000000000000006,What-if
20%,20%,408.0,25.8,10526.4,0.43999999999999995,What-if
