EPS Change (%),PE Change (%),EPS Value,PE Value,Implied Price,Implied Return,Scenario
-20%,-20%,180.0,22.240000000000002,4003.2000000000003,-0.36,What-if
-20%,-10%,180.0,25.02,4503.6,-0.2799999999999999,What-if
-20%,0%,180.0,27.8,5004.0,-0.19999999999999996,What-if
-20%,10%,180.0,30.580000000000002,5504.400000000001,-0.11999999999999988,What-if
-20%,20%,180.0,33.36,6004.8,-0.039999999999999925,What-if
-10%,-20%,202.5,22.240000000000002,4503.6,-0.2799999999999999,What-if
-10%,-10%,202.5,25.02,5066.55,-0.18999999999999995,What-if
-10%,0%,202.5,27.8,5629.5,-0.09999999999999998,What-if
-10%,10%,202.5,30.580000000000002,6192.450000000001,-0.009999999999999898,What-if
-10%,20%,202.5,33.36,6755.4,0.07999999999999985,What-if
0%,-20%,225.0,22.240000000000002,5004.0,-0.19999999999999996,What-if
0%,-10%,225.0,25.02,5629.5,-0.09999999999999998,What-if
0%,0%,225.0,27.8,6255.0,0.0,Current
0%,10%,225.0,30.580000000000002,6880.5,0.10000000000000009,What-if
0%,20%,225.0,33.36,7506.0,0.19999999999999996,What-if
10%,-20%,247.50000000000003,22.240000000000002,5504.4000000000015,-0.11999999999999977,What-if
10%,-10%,247.50000000000003,25.02,6192.450000000001,-0.009999999999999898,What-if
10%,0%,247.50000000000003,27.8,6880.500000000001,0.10000000000000009,What-if
10%,10%,247.50000000000003,30.580000000000002,7568.550000000001,0.2100000000000002,What-if
10%,20%,247.50000000000003,33.36,8256.6,0.32000000000000006,What-if
20%,-20%,270.0,22.240000000000002,6004.8,-0.039999999999999925,What-if
20%,-10%,270.0,25.02,6755.4,0.07999999999999985,What-if
20%,0%,270.0,27.8,7506.0,0.19999999999999996,What-if
20%,10%,270.0,30.580000000000002,8256.6,0.32000000000000006,What-if
20%,20%,270.0,33.36,9007.2,0.44000000000000017,What-if
