Benchmark,EPS Type,Current EPS,Current PE,PE Scenario,Implied Index Level
S&P 500,trailing,225.0,27.8,1,225.0
S&P 500,trailing,225.0,27.8,2,450.0
S&P 500,trailing,225.0,27.8,3,675.0
S&P 500,trailing,225.0,27.8,4,900.0
S&P 500,trailing,225.0,27.8,5,1125.0
S&P 500,trailing,225.0,27.8,6,1350.0
S&P 500,trailing,225.0,27.8,7,1575.0
S&P 500,trailing,225.0,27.8,8,1800.0
S&P 500,trailing,225.0,27.8,9,2025.0
S&P 500,trailing,225.0,27.8,10,2250.0
S&P 500,trailing,225.0,27.8,11,2475.0
S&P 500,trailing,225.0,27.8,12,2700.0
S&P 500,trailing,225.0,27.8,13,2925.0
S&P 500,trailing,225.0,27.8,14,3150.0
S&P 500,trailing,225.0,27.8,15,3375.0
S&P 500,trailing,225.0,27.8,16,3600.0
S&P 500,trailing,225.0,27.8,17,3825.0
S&P 500,trailing,225.0,27.8,18,4050.0
S&P 500,trailing,225.0,27.8,19,4275.0
S&P 500,trailing,225.0,27.8,20,4500.0
S&P 500,trailing,225.0,27.8,21,4725.0
S&P 500,trailing,225.0,27.8,22,4950.0
S&P 500,trailing,225.0,27.8,23,5175.0
S&P 500,trailing,225.0,27.8,24,5400.0
S&P 500,trailing,225.0,27.8,25,5625.0
S&P 500,trailing,225.0,27.8,26,5850.0
S&P 500,trailing,225.0,27.8,27,6075.0
S&P 500,trailing,225.0,27.8,28,6300.0
S&P 500,trailing,225.0,27.8,29,6525.0
S&P 500,trailing,225.0,27.8,30,6750.0
S&P 500,trailing,225.0,27.8,31,6975.0
S&P 500,trailing,225.0,27.8,32,7200.0
S&P 500,trailing,225.0,27.8,33,7425.0
S&P 500,trailing,225.0,27.8,34,7650.0
S&P 500,trailing,225.0,27.8,35,7875.0
S&P 500,trailing,225.0,27.8,36,8100.0
S&P 500,trailing,225.0,27.8,37,8325.0
S&P 500,trailing,225.0,27.8,38,8550.0
S&P 500,trailing,225.0,27.8,39,8775.0
S&P 500,trailing,225.0,27.8,40,9000.0
S&P 500,trailing,225.0,27.8,41,9225.0
S&P 500,trailing,225.0,27.8,42,9450.0
S&P 500,trailing,225.0,27.8,43,9675.0
S&P 500,trailing,225.0,27.8,44,9900.0
S&P 500,trailing,225.0,27.8,45,10125.0
S&P 500,trailing,225.0,27.8,46,10350.0
S&P 500,trailing,225.0,27.8,47,10575.0
S&P 500,trailing,225.0,27.8,48,10800.0
S&P 500,trailing,225.0,27.8,49,11025.0
S&P 500,trailing,225.0,27.8,50,11250.0
S&P 500,trailing,225.0,27.8,51,11475.0
S&P 500,trailing,225.0,27.8,52,11700.0
S&P 500,trailing,225.0,27.8,53,11925.0
S&P 500,trailing,225.0,27.8,54,12150.0
S&P 500,trailing,225.0,27.8,55,12375.0
S&P 500,trailing,225.0,27.8,56,12600.0
S&P 500,trailing,225.0,27.8,57,12825.0
S&P 500,trailing,225.0,27.8,58,13050.0
S&P 500,trailing,225.0,27.8,59,13275.0
S&P 500,trailing,225.0,27.8,60,13500.0
S&P 500,trailing,225.0,27.8,61,13725.0
S&P 500,trailing,225.0,27.8,62,13950.0
S&P 500,trailing,225.0,27.8,63,14175.0
S&P 500,trailing,225.0,27.8,64,14400.0
S&P 500,trailing,225.0,27.8,65,14625.0
S&P 500,trailing,225.0,27.8,66,14850.0
S&P 500,trailing,225.0,27.8,67,15075.0
S&P 500,trailing,225.0,27.8,68,15300.0
S&P 500,trailing,225.0,27.8,69,15525.0
S&P 500,trailing,225.0,27.8,70,15750.0
S&P 500,trailing,225.0,27.8,71,15975.0
S&P 500,trailing,225.0,27.8,72,16200.0
S&P 500,trailing,225.0,27.8,73,16425.0
S&P 500,trailing,225.0,27.8,74,16650.0
S&P 500,trailing,225.0,27.8,75,16875.0
S&P 500,trailing,225.0,27.8,76,17100.0
S&P 500,trailing,225.0,27.8,77,17325.0
Russell 2000,trailing,145.0,20.0,1,145.0
Russell 2000,trailing,145.0,20.0,2,290.0
Russell 2000,trailing,145.0,20.0,3,435.0
Russell 2000,trailing,145.0,20.0,4,580.0
Russell 2000,trailing,145.0,20.0,5,725.0
Russell 2000,trailing,145.0,20.0,6,870.0
Russell 2000,trailing,145.0,20.0,7,1015.0
Russell 2000,trailing,145.0,20.0,8,1160.0
Russell 2000,trailing,145.0,20.0,9,1305.0
Russell 2000,trailing,145.0,20.0,10,1450.0
Russell 2000,trailing,145.0,20.0,11,1595.0
Russell 2000,trailing,145.0,20.0,12,1740.0
Russell 2000,trailing,145.0,20.0,13,1885.0
Russell 2000,trailing,145.0,20.0,14,2030.0
Russell 2000,trailing,145.0,20.0,15,2175.0
Russell 2000,trailing,145.0,20.0,16,2320.0
Russell 2000,trailing,145.0,20.0,17,2465.0
Russell 2000,trailing,145.0,20.0,18,2610.0
Russell 2000,trailing,145.0,20.0,19,2755.0
Russell 2000,trailing,145.0,20.0,20,2900.0
Russell 2000,trailing,145.0,20.0,21,3045.0
Russell 2000,trailing,145.0,20.0,22,3190.0
Russell 2000,trailing,145.0,20.0,23,3335.0
Russell 2000,trailing,145.0,20.0,24,3480.0
Russell 2000,trailing,145.0,20.0,25,3625.0
Russell 2000,trailing,145.0,20.0,26,3770.0
Russell 2000,trailing,145.0,20.0,27,3915.0
Russell 2000,trailing,145.0,20.0,28,4060.0
Russell 2000,trailing,145.0,20.0,29,4205.0
Russell 2000,trailing,145.0,20.0,30,4350.0
Russell 2000,trailing,145.0,20.0,31,4495.0
Russell 2000,trailing,145.0,20.0,32,4640.0
Russell 2000,trailing,145.0,20.0,33,4785.0
Russell 2000,trailing,145.0,20.0,34,4930.0
Russell 2000,trailing,145.0,20.0,35,5075.0
Russell 2000,trailing,145.0,20.0,36,5220.0
Russell 2000,trailing,145.0,20.0,37,5365.0
Russell 2000,trailing,145.0,20.0,38,5510.0
Russell 2000,trailing,145.0,20.0,39,5655.0
Russell 2000,trailing,145.0,20.0,40,5800.0
Russell 2000,trailing,145.0,20.0,41,5945.0
Russell 2000,trailing,145.0,20.0,42,6090.0
Russell 2000,trailing,145.0,20.0,43,6235.0
Russell 2000,trailing,145.0,20.0,44,6380.0
Russell 2000,trailing,145.0,20.0,45,6525.0
Russell 2000,trailing,145.0,20.0,46,6670.0
Russell 2000,trailing,145.0,20.0,47,6815.0
Russell 2000,trailing,145.0,20.0,48,6960.0
Russell 2000,trailing,145.0,20.0,49,7105.0
Russell 2000,trailing,145.0,20.0,50,7250.0
Russell 2000,trailing,145.0,20.0,51,7395.0
Russell 2000,trailing,145.0,20.0,52,7540.0
Russell 2000,trailing,145.0,20.0,53,7685.0
Russell 2000,trailing,145.0,20.0,54,7830.0
Russell 2000,trailing,145.0,20.0,55,7975.0
Russell 2000,trailing,145.0,20.0,56,8120.0
Russell 2000,trailing,145.0,20.0,57,8265.0
Russell 2000,trailing,145.0,20.0,58,8410.0
Russell 2000,trailing,145.0,20.0,59,8555.0
Russell 2000,trailing,145.0,20.0,60,8700.0
Russell 2000,trailing,145.0,20.0,61,8845.0
Russell 2000,trailing,145.0,20.0,62,8990.0
Russell 2000,trailing,145.0,20.0,63,9135.0
Russell 2000,trailing,145.0,20.0,64,9280.0
Russell 2000,trailing,145.0,20.0,65,9425.0
Russell 2000,trailing,145.0,20.0,66,9570.0
Russell 2000,trailing,145.0,20.0,67,9715.0
Russell 2000,trailing,145.0,20.0,68,9860.0
Russell 2000,trailing,145.0,20.0,69,10005.0
Russell 2000,trailing,145.0,20.0,70,10150.0
FTSE All‑World,trailing,14.0,18.0,1,14.0
FTSE All‑World,trailing,14.0,18.0,2,28.0
FTSE All‑World,trailing,14.0,18.0,3,42.0
FTSE All‑World,trailing,14.0,18.0,4,56.0
FTSE All‑World,trailing,14.0,18.0,5,70.0
FTSE All‑World,trailing,14.0,18.0,6,84.0
FTSE All‑World,trailing,14.0,18.0,7,98.0
FTSE All‑World,trailing,14.0,18.0,8,112.0
FTSE All‑World,trailing,14.0,18.0,9,126.0
FTSE All‑World,trailing,14.0,18.0,10,140.0
FTSE All‑World,trailing,14.0,18.0,11,154.0
FTSE All‑World,trailing,14.0,18.0,12,168.0
FTSE All‑World,trailing,14.0,18.0,13,182.0
FTSE All‑World,trailing,14.0,18.0,14,196.0
FTSE All‑World,trailing,14.0,18.0,15,210.0
FTSE All‑World,trailing,14.0,18.0,16,224.0
FTSE All‑World,trailing,14.0,18.0,17,238.0
FTSE All‑World,trailing,14.0,18.0,18,252.0
FTSE All‑World,trailing,14.0,18.0,19,266.0
FTSE All‑World,trailing,14.0,18.0,20,280.0
FTSE All‑World,trailing,14.0,18.0,21,294.0
FTSE All‑World,trailing,14.0,18.0,22,308.0
FTSE All‑World,trailing,14.0,18.0,23,322.0
FTSE All‑World,trailing,14.0,18.0,24,336.0
FTSE All‑World,trailing,14.0,18.0,25,350.0
FTSE All‑World,trailing,14.0,18.0,26,364.0
FTSE All‑World,trailing,14.0,18.0,27,378.0
FTSE All‑World,trailing,14.0,18.0,28,392.0
FTSE All‑World,trailing,14.0,18.0,29,406.0
FTSE All‑World,trailing,14.0,18.0,30,420.0
FTSE All‑World,trailing,14.0,18.0,31,434.0
FTSE All‑World,trailing,14.0,18.0,32,448.0
FTSE All‑World,trailing,14.0,18.0,33,462.0
FTSE All‑World,trailing,14.0,18.0,34,476.0
FTSE All‑World,trailing,14.0,18.0,35,490.0
FTSE All‑World,trailing,14.0,18.0,36,504.0
FTSE All‑World,trailing,14.0,18.0,37,518.0
FTSE All‑World,trailing,14.0,18.0,38,532.0
